
Overlap Results

Collection(s):	CP:REACTOME
# overlaps shown:	10
# genesets in collections:	1554
# genes in comparison (n):	45
# genes in universe (N):	40071

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	580	Nervous system development	6	0.0103	4.52E-5	7.02E-2
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	218	Signaling by ROBO receptors	4	0.0183	1.07E-4	8.28E-2
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	94	Eukaryotic Translation Elongation	3	0.0319	1.65E-4	8.55E-2
REACTOME_INNATE_IMMUNE_SYSTEM	1114	Innate Immune System	7	0.0063	2.27E-4	8.83E-2
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	25	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	2	0.0800	3.64E-4	1.13E-1
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	613	Cellular responses to external stimuli	5	0.0082	6.08E-4	1.5E-1
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	35	GPVI-mediated activation cascade	2	0.0571	7.17E-4	1.5E-1
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	370	Class I MHC mediated antigen processing & presentation	4	0.0108	7.9E-4	1.5E-1
REACTOME_METABOLISM_OF_RNA	672	Metabolism of RNA	5	0.0074	9.17E-4	1.5E-1
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	172	Regulation of expression of SLITs and ROBOs	3	0.0174	9.66E-4	1.5E-1


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_INNATE_IMMUNE_SYSTEM	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI	REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	REACTOME_METABOLISM_OF_RNA	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS
6136	RPL12	ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302]	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION			REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI			REACTOME_METABOLISM_OF_RNA	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS
6171	RPL41	ribosomal protein L41 [Source:HGNC Symbol;Acc:HGNC:10354]	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION			REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI			REACTOME_METABOLISM_OF_RNA	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS
23198	PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_SIGNALING_BY_ROBO_RECEPTORS		REACTOME_INNATE_IMMUNE_SYSTEM		REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI		REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	REACTOME_METABOLISM_OF_RNA	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS
10486	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	REACTOME_SIGNALING_BY_ROBO_RECEPTORS								
10094	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT			REACTOME_INNATE_IMMUNE_SYSTEM						
388	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	REACTOME_NERVOUS_SYSTEM_DEVELOPMENT						REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE			
1917	EEF1A2	eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192]			REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION							
5602	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]				REACTOME_INNATE_IMMUNE_SYSTEM		REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI				
3937	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]				REACTOME_INNATE_IMMUNE_SYSTEM			REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE			
